id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
GME00124510,50.2256,10.0803,282,,BAD KISSINGEN,,,TMAX,1946,2022
GME00124522,47.8069,7.6392,273,,MULLHEIM,,,TMAX,1947,2022
GME00124534,49.7369,10.1792,188,,KITZINGEN,,,TMAX,1982,2022
GME00124546,50.2225,8.4481,826,,KLEINER FELDBERG/TAUNUS,,,TMAX,1936,2022
GME00124570,50.8469,10.4814,732,,KLEINER INSELSBERG,,,TMAX,1958,2022
GME00124594,51.5567,13.8864,128,,KLETTWITZ,,,TMAX,1996,2022
GME00124606,51.7625,6.0956,46,,KLEVE,,,TMAX,1904,2022
GME00124630,51.5203,12.9078,85,,KLITZSCHEN BEI TORGAU,,,TMAX,1994,2022
GME00124678,50.2853,10.4467,288,,BAD KONIGSHOFEN,,,TMAX,1951,2022
GME00124690,53.2292,9.6533,40,,KONIGSMOOR,,,PRCP,1931,2022
GME00124726,48.8308,11.4883,417,,KOSCHING,,,TMAX,1961,2022
GME00124762,51.7528,12.0092,76,,KOTHEN (ANHALT),,,TMAX,1993,2022
GME00124774,47.6658,11.0817,740,,BAD KOHLGRUB (ROSSHOF),,,TMAX,1991,2022
GME00124810,50.2533,11.3219,312,,KRONACH,,,TMAX,1949,2022
GME00124846,49.4289,11.9019,417,,KUMMERSBRUCK,,,PRCP,2001,2022
GME00124918,53.9167,12.2831,40,,LAAGE (FLUGPLATZ),,,PRCP,2001,2022
GME00124930,48.5131,9.7656,685,,MERKLINGEN,,,TMAX,1949,2022
GME00125026,51.9183,13.0889,91,,LANGENLIPSDORF,,,TMAX,1993,2022
GME00125074,51.3925,11.88,119,,BAD LAUCHSTADT,,,TMAX,1947,2022
GME00125098,48.2181,9.9094,539,,LAUPHEIM,,,PRCP,2001,2022
GME00125122,48.1864,10.8506,550,,LECHFELD,,,PRCP,2001,2022
GME00125146,54.7925,8.9492,7,,LECK,,,TMAX,1974,2022
GME00125218,51.3164,12.4475,138,,LEIPZIG-HOLZHAUSEN,,,TMAX,1863,2022
GME00125230,51.1344,8.0358,286,,LENNESTADT-THETEN,,,TMAX,1962,2022
GME00125254,52.3208,9.4306,110,,BARSINGHAUSEN-HOHENBOSTEL,,,TMAX,1992,2022
GME00125278,53.1025,11.4878,20,,LENZEN/ELBE,,,TMAX,1994,2022
GME00125302,50.9906,6.9783,43,,KOLN-STAMMHEIM,,,TMAX,1945,2022
GME00125314,50.9394,14.2108,321,,LICHTENHAIN-MITTELNDORF,,,TMAX,1991,2022
GME00125326,54.3406,12.7106,3,,BARTH,,,TMAX,1947,2022
GME00125422,51.6344,8.3953,92,,LIPPSTADT-BOKENFORDE,,,TMAX,1980,2022
GME00125434,50.4519,11.6333,500,,BAD LOBENSTEIN,,,TMAX,1991,2022
GME00125446,52.0619,13.5028,55,,BARUTH,,,TMAX,1998,2022
GME00125458,50.5633,8.24,230,,LOHNBERG-OBERSHAUSEN,,,TMAX,1993,2022
